d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
2, 6, 3, 1000, 0.6430, 1.8591, 0.1099, 0
2, 6, 3, 10000, 0.5645, 0.8385, 0.2670, 0
2, 6, 3, 50000, 0.2908, 0.8778, 1.1650, 0
2, 6, 3, 100000, 0.3108, 1.2995, 2.2771, 0
2, 6, 4, 1000, 0.4970, 1.6393, 0.0534, 0
2, 6, 4, 10000, 0.3114, 0.8727, 0.2847, 0
2, 6, 4, 50000, 0.2822, 0.3578, 1.1968, 0
2, 6, 4, 100000, 0.2873, 0.8320, 2.3287, 0
2, 6, 5, 1000, 0.2547, 0.3395, 0.0529, 0
2, 6, 5, 10000, 0.3764, 0.5887, 0.2582, 0
2, 6, 5, 50000, 0.3202, 0.3483, 1.1963, 0
2, 6, 5, 100000, 0.1380, 0.1771, 2.2721, 0
2, 6, Median, 100000.0, 0.2777, 0.4994, 2.2304, 0.00
2, 7, 1, 1000, 0.3524, 0.2823, 0.0621, 0
2, 7, 1, 10000, 0.2948, 0.4843, 0.3974, 0
2, 7, 1, 50000, 0.4726, 0.2905, 1.7870, 0
2, 7, 1, 100000, 0.1891, 0.4905, 3.4023, 0
2, 7, 2, 1000, 0.3012, 2.7916, 0.0839, 0
2, 7, 2, 10000, 0.5035, 0.4335, 0.3543, 0
2, 7, 2, 50000, 0.6342, 0.2651, 1.6547, 0
2, 7, 2, 100000, 0.4868, 1.8113, 3.4010, 0
2, 7, 3, 1000, 0.4478, 0.2061, 0.0652, 0
2, 7, 3, 10000, 0.2825, 1.5723, 0.4427, 0
2, 7, 3, 50000, 0.3707, 0.6544, 1.7859, 0
2, 7, 3, 100000, 0.3830, 0.7054, 3.4322, 0
2, 7, 4, 1000, 0.3349, 0.6611, 0.0845, 0
2, 7, 4, 10000, 0.4295, 0.4169, 0.3660, 0
2, 7, 4, 50000, 0.1895, 0.4827, 1.6381, 0
2, 7, 4, 100000, 0.3362, 0.7639, 3.3378, 0
2, 7, 5, 1000, 0.3620, 0.1310, 0.0872, 0
2, 7, 5, 10000, 0.3770, 0.4448, 0.4210, 0
2, 7, 5, 50000, 0.1940, 0.1880, 1.7033, 0
2, 7, 5, 100000, 0.3148, 0.3269, 3.4448, 0
2, 7, Median, 100000.0, 0.3524, 0.2651, 1.6381, 0.00
3, 1, 1, 1000, 0.0039, 0.0000, 0.0281, 1
3, 1, 2, 1000, 0.0048, 0.0000, 0.0280, 1
3, 1, 3, 1000, 0.0047, 0.0000, 0.0293, 1
3, 1, 4, 1000, 0.0041, 0.0000, 0.0280, 1
3, 1, 5, 1000, 0.0062, 0.0000, 0.0304, 1
3, 1, Median, 1000.0, 0.0047, 0.0000, 0.0281, 1.00
3, 2, 1, 1000, 0.0096, 0.0064, 0.0287, 1
3, 2, 2, 1000, 0.0175, 0.0270, 0.0308, 1
3, 2, 3, 1000, 0.0036, 0.0695, 0.0296, 1
3, 2, 4, 1000, 0.0182, 0.0071, 0.0286, 1
3, 2, 5, 1000, 0.0155, 0.0030, 0.0294, 1
3, 2, Median, 1000.0, 0.0155, 0.0071, 0.0294, 1.00
3, 3, 1, 1000, 0.0178, 0.0443, 0.0297, 1
3, 3, 2, 1000, 0.0503, 0.0435, 0.0290, 1
3, 3, 3, 1000, 0.0226, 0.1743, 0.0285, 1
3, 3, 4, 1000, 0.0342, 0.0428, 0.0299, 1
3, 3, 5, 1000, 0.0670, 0.1092, 0.0287, 1
3, 3, Median, 1000.0, 0.0342, 0.0443, 0.0290, 1.00
3, 4, 1, 1000, 0.0299, 0.0650, 0.0351, 1
3, 4, 2, 1000, 0.1938, 0.2551, 0.0395, 0
3, 4, 2, 10000, 0.4121, 0.2173, 0.1712, 0
3, 4, 2, 50000, 0.0687, 0.2029, 0.7245, 0
3, 4, 2, 100000, 0.1983, 0.1399, 1.4958, 0
3, 4, 3, 1000, 0.1068, 0.2744, 0.0323, 0
3, 4, 3, 10000, 0.0511, 0.0828, 0.1780, 1
3, 4, 4, 1000, 0.1850, 0.3240, 0.0314, 0
3, 4, 4, 10000, 0.1088, 0.0677, 0.1789, 1
3, 4, 5, 1000, 0.1799, 0.2888, 0.0324, 0
3, 4, 5, 10000, 0.0499, 0.0217, 0.1778, 1
3, 4, Median, 10000.0, 0.0511, 0.0677, 0.1780, 0.80
3, 5, 1, 1000, 0.2383, 0.5897, 0.0360, 0
3, 5, 1, 10000, 0.2862, 0.5062, 0.2312, 0
3, 5, 1, 50000, 0.4121, 0.4740, 0.9313, 0
3, 5, 1, 100000, 0.2047, 0.1937, 1.8854, 0
3, 5, 2, 1000, 0.2135, 0.4554, 0.0565, 0
3, 5, 2, 10000, 0.1783, 0.4616, 0.2203, 0
3, 5, 2, 50000, 0.0970, 0.1751, 0.9433, 0
3, 5, 2, 100000, 0.0847, 0.1196, 1.8953, 0
3, 5, 3, 1000, 0.1546, 0.1237, 0.0456, 0
3, 5, 3, 10000, 0.0701, 0.1188, 0.2191, 1
3, 5, 4, 1000, 0.3549, 5.0645, 0.0353, 0
3, 5, 4, 10000, 0.1789, 9.1287, 0.2385, 0
3, 5, 4, 50000, 0.2247, 3.6473, 0.9642, 0
3, 5, 4, 100000, 0.2937, 13.0610, 1.8991, 0
3, 5, 5, 1000, 0.3606, 0.9399, 0.0341, 0
3, 5, 5, 10000, 0.1939, 0.4379, 0.2159, 0
3, 5, 5, 50000, 0.1970, 0.5068, 0.9490, 0
3, 5, 5, 100000, 0.3707, 0.4033, 1.8577, 0
3, 5, Median, 100000.0, 0.1939, 0.1937, 0.9642, 0.20
3, 6, 1, 1000, 0.2357, 0.5815, 0.0534, 0
3, 6, 1, 10000, 0.1674, 0.3866, 0.2870, 0
3, 6, 1, 50000, 0.3406, 0.3974, 1.1507, 0
3, 6, 1, 100000, 0.2290, 0.3020, 2.2229, 0
3, 6, 2, 1000, 0.3479, 0.4829, 0.0555, 0
3, 6, 2, 10000, 0.5458, 0.5871, 0.3046, 0
3, 6, 2, 50000, 0.5540, 0.3679, 1.1477, 0
3, 6, 2, 100000, 0.3083, 0.6191, 2.2819, 0
3, 6, 3, 1000, 0.1935, 0.6541, 0.0598, 0
3, 6, 3, 10000, 0.2675, 0.2313, 0.2773, 0
3, 6, 3, 50000, 0.2993, 1.7680, 1.1555, 0
3, 6, 3, 100000, 0.2439, 1.5308, 2.1978, 0
3, 6, 4, 1000, 0.3095, 0.3040, 0.0580, 0
3, 6, 4, 10000, 0.1549, 0.4567, 0.3095, 0
3, 6, 4, 50000, 0.4766, 0.3753, 1.1780, 0
3, 6, 4, 100000, 0.1342, 0.1685, 2.2176, 0
3, 6, 5, 1000, 0.2411, 0.5143, 0.0570, 0
3, 6, 5, 10000, 0.3578, 0.3229, 0.2754, 0
3, 6, 5, 50000, 0.1129, 0.2554, 1.1348, 0
3, 6, 5, 100000, 0.3190, 0.3496, 2.2211, 0
3, 6, Median, 100000.0, 0.2290, 0.2554, 1.1348, 0.00
4, 1, 1, 1000, 0.0035, 0.0000, 0.0285, 1
4, 1, 2, 1000, 0.0047, 0.0000, 0.0299, 1
4, 1, 3, 1000, 0.0039, 0.0000, 0.0294, 1
4, 1, 4, 1000, 0.0047, 0.0000, 0.0287, 1
4, 1, 5, 1000, 0.0048, 0.0000, 0.0292, 1
4, 1, Median, 1000.0, 0.0047, 0.0000, 0.0292, 1.00
4, 2, 1, 1000, 0.0110, 0.0283, 0.0287, 1
4, 2, 2, 1000, 0.0067, 0.0214, 0.0292, 1
4, 2, 3, 1000, 0.0060, 0.0375, 0.0296, 1
4, 2, 4, 1000, 0.0107, 0.0409, 0.0289, 1
4, 2, 5, 1000, 0.0416, 0.0207, 0.0292, 1
4, 2, Median, 1000.0, 0.0107, 0.0283, 0.0292, 1.00
4, 3, 1, 1000, 0.0139, 0.0008, 0.0305, 1
4, 3, 2, 1000, 0.0304, 0.0676, 0.0302, 1
4, 3, 3, 1000, 0.0252, 0.0113, 0.0291, 1
4, 3, 4, 1000, 0.5465, 3.0957, 0.0302, 0
4, 3, 4, 10000, 0.0318, 1.6162, 0.1766, 0
4, 3, 4, 50000, 0.3941, 2.8986, 0.7686, 0
4, 3, 4, 100000, 0.0419, 0.6394, 1.5737, 0
4, 3, 5, 1000, 0.5354, 1.0624, 0.0300, 0
4, 3, 5, 10000, 0.0263, 0.1555, 0.1797, 1
4, 3, Median, 1000.0, 0.0263, 0.0676, 0.0305, 0.80
4, 4, 1, 1000, 0.3532, 0.4705, 0.0307, 0
4, 4, 1, 10000, 0.1325, 0.2313, 0.1789, 0
4, 4, 1, 50000, 0.0346, 0.0919, 0.8024, 1
4, 4, 2, 1000, 0.1043, 0.4302, 0.0314, 0
4, 4, 2, 10000, 0.0475, 0.1619, 0.1913, 0
4, 4, 2, 50000, 0.0558, 0.0853, 0.7951, 1
4, 4, 3, 1000, 0.1538, 0.4038, 0.0334, 0
4, 4, 3, 10000, 0.1328, 0.3549, 0.1918, 0
4, 4, 3, 50000, 0.0434, 0.0404, 0.8009, 1
4, 4, 4, 1000, 0.0628, 0.0415, 0.0305, 1
4, 4, 5, 1000, 0.5118, 0.3548, 0.0337, 0
4, 4, 5, 10000, 0.1800, 0.4593, 0.1803, 0
4, 4, 5, 50000, 0.2074, 0.9957, 0.8035, 0
4, 4, 5, 100000, 0.0435, 0.3360, 1.5351, 0
4, 4, Median, 50000.0, 0.0435, 0.0853, 0.8009, 0.80
4, 5, 1, 1000, 0.2549, 0.3800, 0.0456, 0
